Comment,Designator,Footprint,LCSC,Quantity
0Ω,"R15,R16,R26,R27,R29,R30,R32,R42",R_0603,C21189,8
100kΩ,"R31,R33,R58,R59",R_0603,C25803,4
100nF,"C1,C2,C6,C7,C8,C9",C_0603,C14663,6
10kΩ,"R10,R12,R19,R21,R34,R35,R36,R37,R38,R4,R41,R53,R56,R57,R6,R62",R_0603,C25804,16
10uF,"C16,C18",C_0603,C19702,2
150kΩ,"R20,R22",R_0603,C22807,2
1kΩ,"R1,R14,R17,R24,R43,R44,R45,R46,R47,R48,R49,R50,R51",R_0603,C21190,13
1uF,"C11,C12",C_0603,C15849,2
2N7002,"Q12,Q13,Q14,Q15,Q18,Q19,Q20",Q_SOT-23,C8545,7
300kΩ,"R39,R40,R60,R61,R63,R64",R_0603,C23024,6
AGM40P25A,Q4,PDFN-8_L5.8-W5.0-P1.27-LS6.1-BL,C22386140,1
AMS1117,U4,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,C6186,1
LM358DR2G,"U3,U6,U7",SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,C7950,3
M24C64,U2,SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,C79988,1
M7,D1,D_SMA,C95872,1
Red,"D10,D11,D12,D13,D14,D3,D4,D6,D7,D8,D9",D_0603,C2286,11
S60N04F,Q3,DFN-5_L4.9-W5.9-P1.27-LS6.2-BL,C7543820,1
SN74CB3Q3384APW,U1,TSSOP-24_4.4x7.8mm_P0.65mm,C469874,1
Conn_01x02,J6,JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal,,1
Conn_01x02,J10,PinHeader_1x02_P2.54mm_Vertical,,1
Chainbus Out,J2,PinSocket_2x16_P2.54mm_Vertical_SMD,,1
Conn_01x04_Pin,J3,PinHeader_1x04_P2.54mm_Vertical,,1
20mΩ,R18,R_0603,,1
D_Zener,D2,D_0603,,1
20mΩ,R23,R_0603,,1
Conn_01x02,J11,PinHeader_1x02_P2.54mm_Vertical,,1
Conn_01x02,J8,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,,1
Conn_01x02,J9,PinHeader_1x02_P2.54mm_Vertical,,1
Program,J7,PinHeader_1x03_P2.54mm_Vertical,,1
CH32V003FxPx,U5,TSSOP-20_4.4x6.5mm_P0.65mm,,1
Chainbus in,J1,PinHeader_2x16_P2.54mm_Vertical_SMD,,1
