Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0603,164.0,-107.0,90.0,top
C11,1uF,C_0603,86.699519,-115.647121,180.0,top
C12,1uF,C_0603,104.862477,-114.647121,90.0,top
C16,10uF,C_0603,166.62,-94.585,0.0,top
C18,10uF,C_0603,166.72,-96.885,0.0,top
C2,100nF,C_0603,171.9,-105.365,90.0,top
C6,100nF,C_0603,119.5,-105.2125,0.0,top
C7,100nF,C_0603,155.24,-124.95,180.0,top
C8,100nF,C_0603,96.8,-113.898058,90.0,top
C9,100nF,C_0603,112.7,-113.937121,90.0,top
D1,M7,D_SMA,83.0,-125.0,-90.0,top
D10,Red,D_0603,175.79,-127.0,180.0,top
D11,Red,D_0603,175.79,-123.0,180.0,top
D12,Red,D_0603,175.79,-125.0,180.0,top
D13,Red,D_0603,175.79,-113.0,180.0,top
D14,Red,D_0603,175.79,-111.0,180.0,top
D2,D_Zener,D_0603,146.2,-122.4,180.0,top
D3,Red,D_0603,176.165,-98.005,0.0,top
D4,Red,D_0603,175.79,-117.0,180.0,top
D6,Red,D_0603,175.79,-121.0,180.0,top
D7,Red,D_0603,175.79,-119.0,180.0,top
D8,Red,D_0603,175.79,-115.0,180.0,top
D9,Red,D_0603,175.79,-129.0,180.0,top
G***,LOGO,QR,98.155478,-107.827896,0.0,bottom
H1,M3 Mount,MountingHole_3.2mm_M3_DIN965_Pad_TopOnly,82.0,-92.0,0.0,top
H2,M3 mount,MountingHole_3.2mm_M3_DIN965,174.0,-134.0,0.0,top
H3,M3 mount,MountingHole_3.2mm_M3_DIN965,82.0,-134.0,0.0,top
H5,M2.5 mount,MountingHole_2.7mm_M2.5,103.0,-94.0,0.0,top
H6,M2.5 mount,MountingHole_2.7mm_M2.5,153.0,-94.0,0.0,top
J1,Chainbus in,PinHeader_2x16_P2.54mm_Vertical_SMD,127.99,-95.538272,270.0,bottom
J2,Chainbus Out,PinSocket_2x16_P2.54mm_Vertical_SMD,128.0,-95.558272,90.0,top
J3,Conn_01x04_Pin,PinHeader_1x04_P2.54mm_Vertical,175.895,-104.41,180.0,top
J4,AMASS XT60 Male,AMASS_XT60PW-M_1x02_P7.20mm_Horizontal,93.95,-128.931505,180.0,top
J5,AMASS XT60 Female,AMASS_XT60PW-F_1x02_P7.20mm_Horizontal,110.5,-129.931505,180.0,top
J6,Conn_01x02,JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal,133.0,-135.3,0.0,top
J7,Program,PinHeader_1x03_P2.54mm_Vertical,120.34,-115.8395,-90.0,top
Q12,2N7002,Q_SOT-23,146.2,-119.4,-90.0,top
Q13,2N7002,Q_SOT-23,159.36,-118.0,180.0,top
Q14,2N7002,Q_SOT-23,151.06,-130.15,0.0,top
Q15,2N7002,Q_SOT-23,155.06,-130.15,0.0,top
Q18,2N7002,Q_SOT-23,110.05,-105.37,-90.0,top
Q19,2N7002,Q_SOT-23,93.05,-105.37,-90.0,top
Q20,2N7002,Q_SOT-23,101.0,-105.25,-90.0,top
Q3,S60N04F,DFN-5_L4.9-W5.9-P1.27-LS6.2-BL,128.216242,-129.454987,-90.0,top
Q4,AGM40P25A,PDFN-8_L5.8-W5.0-P1.27-LS6.1-BL,136.54,-129.555,90.0,top
R1,1kΩ,R_0603,173.1,-98.0,0.0,top
R10,10kΩ,R_0603,168.5,-110.1,180.0,top
R12,10kΩ,R_0603,114.325,-102.5,0.0,top
R14,1kΩ,R_0603,88.862477,-114.647121,-90.0,top
R15,0Ω,R_0603,127.0,-134.555,180.0,top
R16,0Ω,R_0603,147.3,-129.3,90.0,top
R17,1kΩ,R_0603,102.862477,-115.647121,0.0,top
R18,20mΩ,R_0603,121.0,-127.555,-90.0,top
R19,10kΩ,R_0603,146.2,-116.7,0.0,top
R20,150kΩ,R_0603,149.15,-113.95,90.0,top
R21,10kΩ,R_0603,161.8,-114.3,-90.0,top
R22,150kΩ,R_0603,108.05,-102.31,180.0,top
R23,20mΩ,R_0603,124.0,-134.555,180.0,top
R24,1kΩ,R_0603,172.79,-117.0,180.0,top
R25,0Ω,R_0603,113.853536,-107.003198,180.0,top
R26,0Ω,R_0603,121.0,-130.555,-90.0,top
R27,0Ω,R_0603,123.0,-127.555,90.0,top
R28,0Ω,R_0603,96.509779,-106.952245,180.0,top
R29,0Ω,R_0603,92.4,-117.7,-90.0,top
R30,0Ω,R_0603,90.4,-117.6,-90.0,top
R31,100kΩ,R_0603,92.799063,-102.31,180.0,top
R32,0Ω,R_0603,108.3,-117.5,-90.0,top
R33,100kΩ,R_0603,105.6,-104.88,-90.0,top
R34,10kΩ,R_0603,158.36,-114.0,-90.0,top
R35,10kΩ,R_0603,150.7,-127.2,180.0,top
R36,10kΩ,R_0603,155.12,-127.2,180.0,top
R37,10kΩ,R_0603,113.069676,-104.860647,90.0,top
R38,10kΩ,R_0603,95.799063,-104.824403,90.0,top
R39,300kΩ,R_0603,149.15,-116.95,90.0,top
R4,10kΩ,R_0603,154.6,-98.8,0.0,top
R40,300kΩ,R_0603,149.15,-119.95,90.0,top
